Stk_code,plainNum
000606.SZ,12
300253.SZ,12
000590.SZ,12
600166.SH,12
300306.SZ,12
000937.SZ,12
000517.SZ,12
000620.SZ,12
002034.SZ,12
002405.SZ,12
002580.SZ,12
002286.SZ,12
002215.SZ,12
002400.SZ,12
002310.SZ,12
002306.SZ,12
002655.SZ,12
002347.SZ,11
000757.SZ,11
002188.SZ,11
002189.SZ,11
002231.SZ,11
000931.SZ,11
002630.SZ,11
002129.SZ,11
300337.SZ,11
300262.SZ,11
000019.SZ,11
600115.SH,11
300257.SZ,11
601515.SH,11
002451.SZ,11
002037.SZ,11
002222.SZ,11
002343.SZ,11
002530.SZ,11
002021.SZ,11
300319.SZ,11
300270.SZ,11
600495.SH,11
002494.SZ,11
000780.SZ,11
000635.SZ,11
002321.SZ,11
000965.SZ,11
002737.SZ,11
002025.SZ,11
002132.SZ,11
000982.SZ,11
300045.SZ,11
002597.SZ,11
002274.SZ,11
000669.SZ,11
000975.SZ,11
000713.SZ,10
300209.SZ,10
300023.SZ,10
300017.SZ,10
300192.SZ,10
002523.SZ,10
000078.SZ,10
300360.SZ,10
300138.SZ,10
002721.SZ,10
002768.SZ,10
002766.SZ,10
002738.SZ,10
300357.SZ,10
002707.SZ,10
300740.SZ,10
002057.SZ,10
002793.SZ,10
300342.SZ,10
002041.SZ,10
300328.SZ,10
300150.SZ,10
300256.SZ,10
603200.SH,10
300503.SZ,10
300435.SZ,10
002788.SZ,10
002039.SZ,10
002638.SZ,10
002758.SZ,10
300495.SZ,10
002688.SZ,10
300373.SZ,10
002763.SZ,10
002214.SZ,10
000909.SZ,10
300699.SZ,10
000906.SZ,10
002596.SZ,10
002671.SZ,10
002684.SZ,10
002695.SZ,10
002734.SZ,10
300623.SZ,10
300368.SZ,10
600405.SH,10
300508.SZ,10
300371.SZ,10
300575.SZ,10
300252.SZ,10
000862.SZ,10
002867.SZ,10
600997.SH,10
002553.SZ,10
601128.SH,10
300233.SZ,10
000623.SZ,10
300227.SZ,10
000790.SZ,10
002891.SZ,10
002896.SZ,10
300114.SZ,10
300350.SZ,10
300479.SZ,10
000756.SZ,10
300250.SZ,10
300140.SZ,10
000673.SZ,10
300229.SZ,10
300567.SZ,10
603579.SH,10
300439.SZ,10
002388.SZ,10
300532.SZ,10
300472.SZ,10
300458.SZ,10
000603.SZ,10
000599.SZ,10
300456.SZ,10
300137.SZ,10
300162.SZ,10
300397.SZ,10
300448.SZ,10
000502.SZ,10
300554.SZ,10
300074.SZ,10
002443.SZ,10
002246.SZ,9
002593.SZ,9
600640.SH,9
300387.SZ,9
002878.SZ,9
002297.SZ,9
002537.SZ,9
002912.SZ,9
300003.SZ,9
000793.SZ,9
300331.SZ,9
000961.SZ,9
300384.SZ,9
300382.SZ,9
000698.SZ,9
002876.SZ,9
300592.SZ,9
002875.SZ,9
000683.SZ,9
002262.SZ,9
002797.SZ,9
300613.SZ,9
300225.SZ,9
002517.SZ,9
002906.SZ,9
002833.SZ,9
002558.SZ,9
300326.SZ,9
002858.SZ,9
300679.SZ,9
300379.SZ,9
300394.SZ,9
300052.SZ,9
300050.SZ,9
600884.SH,9
300301.SZ,9
000657.SZ,9
002765.SZ,9
002605.SZ,9
300069.SZ,9
300070.SZ,9
002010.SZ,9
300046.SZ,9
